,left_hip_joint,left_knee_joint,left_ankle_joint,right_hip_joint,right_knee_joint,right_ankle_joint
0,47.34504,47.30718,19.973124,99.90309,29.075083,42.76659
1,47.332428,47.193306,19.930357,99.835434,29.119957,42.810493
2,47.362934,47.085194,19.93738,99.753395,29.192272,42.844257
3,47.23041,47.027695,19.896809,99.66589,29.299513,43.025146
4,47.042587,47.10974,19.88415,99.62636,29.405092,43.132473
5,46.973423,47.021343,19.87499,99.470604,29.571148,43.22294
6,47.04088,46.86267,19.860973,99.55009,29.633116,43.361202
7,47.036552,46.720654,19.836332,99.50727,29.598015,43.439465
8,47.062466,46.594387,19.81984,99.65265,29.574636,43.50383
9,47.08241,46.40013,19.838373,99.586426,29.546713,43.53564
10,47.188297,46.316994,19.789934,99.580734,29.48642,43.574825
11,47.236874,46.154762,19.80297,99.52447,29.468521,43.534107
12,47.30294,46.044117,19.829113,99.49912,29.396555,43.533897
13,47.351727,45.93453,19.828993,99.55389,29.309095,43.540806
14,47.26745,45.856155,19.852097,99.50684,29.261215,43.52139
15,47.328144,45.793056,19.848072,99.51449,29.21784,43.60239
16,47.246407,45.76811,19.831661,99.46739,29.185019,43.607018
17,47.255604,45.668762,19.844452,99.39764,29.185719,43.647808
18,47.32678,45.61903,19.84754,99.24121,29.251425,43.60423
19,47.34637,45.576935,19.833664,99.30283,29.25578,43.595196
20,47.36069,45.554794,19.822277,99.352905,29.273022,43.668423
21,47.369663,45.556343,19.816526,99.29529,29.248306,43.658108
22,47.240303,45.60419,19.783607,99.33485,29.222933,43.68548
23,47.31278,45.553772,19.777452,99.39803,29.247036,43.7066
24,47.272892,45.565144,19.71958,99.218796,29.308271,43.759457
25,47.301197,45.55089,19.71145,99.236115,29.326433,43.88497
26,47.27445,45.56511,19.669733,99.23776,29.349161,43.960064
27,47.310516,45.53586,19.674967,99.15646,29.403088,44.029015
28,47.38734,45.535442,19.626383,99.07575,29.44796,44.15695
29,47.398766,45.58401,19.572517,99.191315,29.485512,44.164555
